ID_PRODUTO,UNIDADE,NIVEL 1,NIVEL 2,NIVEL 3,NIVEL 4
20822,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20822,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20823,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20823,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20823,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20824,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20824,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20824,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20824,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20825,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20825,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20825,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20825,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20826,UN,ADULTO,FARMACIA,DORES E INFECCOES,ANTI-INFLAMATORIOS
20826,UN,ADULTO,FARMACIA,DORES E INFECCOES,ANTI-INFLAMATORIOS
20826,UN,ADULTO,FARMACIA,DORES E INFECCOES,ANTI-INFLAMATORIOS
20826,UN,ADULTO,FARMACIA,DORES E INFECCOES,ANTI-INFLAMATORIOS
20826,UN,ADULTO,FARMACIA,DORES E INFECCOES,ANTI-INFLAMATORIOS
20826,UN,ADULTO,FARMACIA,DORES E INFECCOES,ANTI-INFLAMATORIOS
20826,UN,ADULTO,FARMACIA,DORES E INFECCOES,ANTI-INFLAMATORIOS
20826,UN,ADULTO,FARMACIA,DORES E INFECCOES,ANTI-INFLAMATORIOS
20826,UN,ADULTO,FARMACIA,DORES E INFECCOES,ANTI-INFLAMATORIOS
20826,UN,ADULTO,FARMACIA,DORES E INFECCOES,ANTI-INFLAMATORIOS
20827,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20827,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20828,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20828,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20828,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20828,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20828,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20828,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20829,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20829,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20829,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20829,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20829,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20829,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20829,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20829,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20829,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20830,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20830,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20830,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20830,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20830,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20830,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20830,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20830,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20831,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20831,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20831,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20831,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
